DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01962433465"
2,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02245357404"
2,TnP,down_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02087072087"
2,TnP,up_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02120718781"
2,TnP,down_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02094214666"
2,TnP,up_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02113576203"
2,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02020635279"
2,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0218715559"
2,TnP,down_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0209059849"
2,TnP,up_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02117192378"
2,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01904493273"
2,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02303297596"
2,TnP,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02045956906"
2,TnP,up_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02161833962"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991355621992"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.97331745623"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00939378776"
2,TnP,down_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.990327168487"
2,TnP,up_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.992384075498"
2,TnP,down_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.990897465759"
2,TnP,up_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991813778226"
2,TnP,down_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991252943517"
2,TnP,up_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991458300467"
2,TnP,down_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.986297291887"
2,TnP,up_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996413952098"
2,TnP,down_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991250872709"
2,TnP,up_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991460371276"
2,TnP,down_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.990947651317"
2,TnP,up_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991763592668"
2,TnP,down_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.990902106354"
2,TnP,up_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991809137631"
2,TnP,down_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991153923854"
2,TnP,up_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991557320131"
2,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.986162678365"
2,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.99654856562"
2,TnP,down_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991170341381"
2,TnP,up_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.991540902604"
2,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.971159346125"
2,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.936858233235"
2,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.00546045902"
2,TnP,down_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.970542994478"
2,TnP,up_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.971775697773"
2,TnP,down_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.970601666358"
2,TnP,up_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.971717025893"
2,TnP,down_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.971109538748"
2,TnP,up_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.971209153503"
2,TnP,down_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.969469975858"
2,TnP,up_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.972848716393"
2,TnP,down_isr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.970911474537"
