JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 5, "0.93023002147674561" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97413003444671631" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0090149641036987" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 5, "0.99483603239059448" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 5, "0.99120998382568359" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0282329320907593" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0764800310134888" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 5, "0.85236799716949463" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 5, "0.95828396081924438" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 5, "0.98668891191482544" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 5, "0.97672402858734131" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 5, "0.97441500425338745" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 5, "0.98768699169158936" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0605200529098511" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 5, "0.92889201641082764" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97652500867843628" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0094039440155029" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 100, 140, 0, 5, "1.0048379898071289" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 140, 200, 0, 5, "1.0026810169219971" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0417529344558716" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0915999412536621" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 30, 50, 0, 5, "0.93776702880859375" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 50, 70, 0, 5, "0.9695199728012085" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 70, 100, 0, 5, "1.020846962928772" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 100, 140, 0, 5, "0.9869379997253418" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 140, 200, 0, 5, "0.99666601419448853" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0128989219665527" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0531799793243408" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 30, 50, 0, 5, "0.91156202554702759" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 50, 70, 0, 5, "0.99785596132278442" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0342769622802734" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 100, 140, 0, 5, "1.0194330215454102" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 140, 200, 0, 5, "1.0098379850387573" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0597989559173584" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0800580978393555" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 5, "0.89033204317092896" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 5, "0.95981687307357788" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 5, "0.98769569396972656" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 5, "0.97655570507049561" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 5, "0.96456199884414673" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 5, "0.97553694248199463" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0051748752593994" 
0, ptrel, up, 0, -2.4, 2.4, 30, 50, 0, 5, "0.98781859874725342" 
0, ptrel, up, 0, -2.4, 2.4, 50, 70, 0, 5, "1.0090199708938599" 
0, ptrel, up, 0, -2.4, 2.4, 70, 100, 0, 5, "1.047698974609375" 
0, ptrel, up, 0, -2.4, 2.4, 100, 140, 0, 5, "1.0304911136627197" 
0, ptrel, up, 0, -2.4, 2.4, 140, 200, 0, 5, "1.025275707244873" 
0, ptrel, up, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0833308696746826" 
0, ptrel, up, 0, -2.4, 2.4, 300, 670, 0, 5, "1.1282529830932617" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 30, 50, 0, 5, "0.89631801843643188" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97598093748092651" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0048699378967285" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 100, 140, 0, 5, "0.99171298742294312" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 140, 200, 0, 5, "0.9809340238571167" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0047929286956787" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0364700555801392" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 5, "0.92866504192352295" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97428399324417114" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 5, "0.99822193384170532" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 5, "0.9877859354019165" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 5, "0.98348701000213623" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 5, "1.008296012878418" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0433300733566284" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 5, "0.89289402961730957" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97765195369720459" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 5, "1.000944972038269" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 5, "0.99024993181228638" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 5, "0.97192001342773438" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 5, "0.98278695344924927" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 300, 670, 0, 5, "0.99646008014678955" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 30, 50, 0, 5, "0.97075605392456055" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 50, 70, 0, 5, "0.99349802732467651" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0232709646224976" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 100, 140, 0, 5, "1.0083619356155396" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 140, 200, 0, 5, "0.98871499300003052" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 200, 300, 0, 5, "1.023332953453064" 
