JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, down_l2c, 0, -2.4, 2.4, 140, 200, 0, 1, "0.99812501668930054" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0303299427032471" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0788099765777588" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.92311596870422363" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98218703269958496" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0150259733200073" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98395901918411255" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.99199700355529785" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0018800497055054" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0408999919891357" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93609297275543213" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 50, 70, 0, 1, "0.99656999111175537" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0323929786682129" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 100, 140, 0, 1, "1.0180840492248535" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 140, 200, 0, 1, "1.0052779912948608" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0379660129547119" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 300, 670, 0, 1, "1.1030309200286865" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.89826309680938721" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96057122945785522" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.990547776222229" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95194363594055176" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.96509057283401489" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.97176659107208252" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 300, 670, 0, 1, "0.9871056079864502" 
0, ptrel, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96882212162017822" 
0, ptrel, up, 0, -2.4, 2.4, 50, 70, 0, 1, "1.006600022315979" 
0, ptrel, up, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0419019460678101" 
0, ptrel, up, 0, -2.4, 2.4, 100, 140, 0, 1, "1.0467767715454102" 
0, ptrel, up, 0, -2.4, 2.4, 140, 200, 0, 1, "1.0183615684509277" 
0, ptrel, up, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0606498718261719" 
0, ptrel, up, 0, -2.4, 2.4, 300, 670, 0, 1, "1.1364895105361938" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91987401247024536" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.974590003490448" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0036319494247437" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99123001098632812" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97674602270126343" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99339896440505981" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0248500108718872" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9148859977722168" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97341799736022949" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9968559741973877" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98731303215026855" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97920197248458862" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99648594856262207" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 1, "1.032480001449585" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91650199890136719" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97660201787948608" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.99909394979476929" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9906420111656189" 
