kin;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, down_tuneCP5, 0, -2.4, 2.4, 200, 300, 0, 1, "0.914971"
0, kin, down_tuneCP5, 0, -2.4, 2.4, 300, 600, 0, 1, "0.864265"
0, kin, down_topmass, 0, -2.4, 2.4, 30, 50, 0, 1, "0.951817"
0, kin, down_topmass, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958713"
0, kin, down_topmass, 0, -2.4, 2.4, 70, 100, 0, 1, "0.949099"
0, kin, down_topmass, 0, -2.4, 2.4, 100, 140, 0, 1, "0.958487"
0, kin, down_topmass, 0, -2.4, 2.4, 140, 200, 0, 1, "0.950913"
0, kin, down_topmass, 0, -2.4, 2.4, 200, 300, 0, 1, "0.944934"
0, kin, down_topmass, 0, -2.4, 2.4, 300, 600, 0, 1, "0.927532"
0, kin, down_nonttXsec, 0, -2.4, 2.4, 30, 50, 0, 1, "0.951978"
0, kin, down_nonttXsec, 0, -2.4, 2.4, 50, 70, 0, 1, "0.950812"
0, kin, down_nonttXsec, 0, -2.4, 2.4, 70, 100, 0, 1, "0.950625"
0, kin, down_nonttXsec, 0, -2.4, 2.4, 100, 140, 0, 1, "0.951573"
0, kin, down_nonttXsec, 0, -2.4, 2.4, 140, 200, 0, 1, "0.942937"
0, kin, down_nonttXsec, 0, -2.4, 2.4, 200, 300, 0, 1, "0.922368"
0, kin, down_nonttXsec, 0, -2.4, 2.4, 300, 600, 0, 1, "0.894418"
0, kin, up_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.960497988200"
0, kin, up_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.955421396899"
0, kin, up_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.954115858162"
0, kin, up_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.954050541672"
0, kin, up_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.945118108750"
0, kin, up_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923378766632"
0, kin, up_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.886342404437"
0, kin, up_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.963954398393"
0, kin, up_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.957293947935"
0, kin, up_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.955832923293"
0, kin, up_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.955956730842"
0, kin, up_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.946818981171"
0, kin, up_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924209724426"
0, kin, up_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.891036733151"
0, kin, up_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.962034170508"
