DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906376165681"
2,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907037829001"
2,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.901173266438"
2,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.912240728244"
2,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.896746663813"
2,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.916667330869"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.893727160811"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.85389198541"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.933562336212"
2,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.892284377105"
2,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.895169944518"
2,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.888007908495"
2,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.899446413128"
2,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.893416018793"
2,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89403830283"
2,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.891740619652"
2,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89571370197"
2,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.85389198541"
2,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.933562336212"
2,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.892598403368"
2,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.894855918255"
2,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.892986723696"
2,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.894467597926"
2,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.854489685575"
2,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.932964636047"
2,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.891884993407"
2,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.895569328216"
2,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.892328808281"
2,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.895125513342"
2,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.891257044814"
2,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.896197276808"
2,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.892940384564"
