DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10042236602"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09792931381"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09952972482"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09838430112"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09907473751"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09734723367"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10011180496"
0,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05634715649"
0,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.14111188214"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09335857449"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10410046414"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.098681014"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09877802463"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05698370552"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.14047533311"
0,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09665616737"
0,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10080287126"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09523078022"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10222825841"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09603005907"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10142897956"
0,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09866938298"
0,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09878965565"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14045915503"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10319311911"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.17772519095"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13929836403"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14161994603"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1393930931"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14152521696"
0,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1404517956"
0,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14046651446"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13975903573"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14115927434"
0,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10319311911"
0,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.17772519095"
0,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1395779954"
0,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14134031466"
0,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13823756778"
