DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.84361"
2,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0636"
2,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.9125"
2,TnP,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99471"
2,TnP,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94546"
2,TnP,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96175"
2,TnP,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.93081"
2,TnP,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.97641"
2,TnP,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94536"
2,TnP,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96185"
2,TnP,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.92715"
2,TnP,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.98007"
2,TnP,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94226"
2,TnP,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96495"
2,TnP,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94631"
2,TnP,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.9609"
2,TnP,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94593"
2,TnP,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96129"
2,TnP,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.90645"
2,TnP,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0008"
2,TnP,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94034"
2,TnP,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96687"
2,TnP,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.902"
2,TnP,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0052"
