DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2831"
1,TnPH,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27407"
1,TnPH,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27379"
1,TnPH,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27741"
1,TnPH,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27447"
1,TnPH,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27618"
1,TnPH,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27568"
1,TnPH,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27434"
1,TnPH,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26854"
1,TnPH,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28139"
1,TnPH,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26512"
1,TnPH,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26512"
1,TnPH,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27447"
1,TnPH,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27563"
1,TnPH,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27112"
1,TnPH,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27976"
1,TnPH,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27712"
1,TnPH,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26784"
1,TnPH,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26215"
1,TnPH,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28739"
1,TnPH,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26929"
1,TnPH,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27388"
1,TnPL,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30584"
1,TnPL,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2903"
1,TnPL,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32137"
1,TnPL,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29761"
1,TnPL,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.31406"
1,TnPL,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3033"
1,TnPL,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29905"
1,TnPL,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30255"
1,TnPL,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30116"
1,TnPL,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30229"
1,TnPL,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30231"
1,TnPL,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30256"
1,TnPL,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30218"
1,TnPL,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3022"
1,TnPL,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30278"
1,TnPL,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30597"
1,TnPL,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30597"
1,TnPL,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30232"
1,TnPL,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30239"
1,TnPL,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30225"
1,TnPL,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3025"
1,TnPL,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30595"
1,TnPL,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29973"
1,TnPL,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29858"
1,TnPL,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30046"
1,TnPL,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30498"
1,TnPL,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30106"
1,TnPH,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30903"
1,TnPH,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2747"
1,TnPH,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.34336"
