ComCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21485"
1,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21015"
1,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21681"
1,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.213"
1,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21396"
1,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20941"
1,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21755"
1,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20778"
1,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.16519"
1,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.25038"
1,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.19672"
1,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.21884"
1,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2068"
1,TnP,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20877"
1,TnP,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20494"
1,TnP,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.21063"
1,TnP,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20662"
1,TnP,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20894"
1,TnP,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20724"
1,TnP,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20833"
1,TnP,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2067"
1,TnP,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20887"
1,TnP,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.207"
1,TnP,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20857"
1,TnP,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20711"
1,TnP,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20846"
1,TnP,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20606"
1,TnP,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2095"
1,TnP,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17621"
1,TnP,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23936"
1,TnP,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.19413"
1,TnP,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22144"
1,TnP,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17989"
1,TnP,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23567"
