ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.044116"
2,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.03284"
2,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.055392"
2,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.038938"
2,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.049294"
2,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.04157"
2,TnP,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.046662"
2,TnP,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.042066"
2,TnP,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.046166"
2,TnP,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.043583"
2,TnP,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.044649"
2,TnP,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.042881"
2,TnP,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.045351"
2,TnP,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.043214"
2,TnP,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.045018"
2,TnP,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.043437"
2,TnP,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.044795"
2,TnP,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.043576"
2,TnP,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.044656"
2,TnP,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.043505"
2,TnP,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.044727"
2,TnP,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.038133"
2,TnP,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.050098"
2,TnP,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.037894"
2,TnP,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.050338"
2,TnP,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.040275"
2,TnP,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.047957"
