ComCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22013"
1,TnPH,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21987"
1,TnPH,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21829"
1,TnPH,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22078"
1,TnPH,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2195"
1,TnPH,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20998"
1,TnPH,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20998"
1,TnPH,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21907"
1,TnPH,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21917"
1,TnPH,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21948"
1,TnPH,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21905"
1,TnPH,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21842"
1,TnPH,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21592"
1,TnPH,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21036"
1,TnPH,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20724"
1,TnPH,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21459"
1,TnPH,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2258"
1,TnPL,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2143"
1,TnPL,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20324"
1,TnPL,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22536"
1,TnPL,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2072"
1,TnPL,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2214"
1,TnPL,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21784"
1,TnPL,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2128"
1,TnPL,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21555"
1,TnPL,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21354"
1,TnPL,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2154"
1,TnPL,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21537"
1,TnPL,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21533"
1,TnPL,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21533"
1,TnPL,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21709"
1,TnPL,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21414"
1,TnPL,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21534"
1,TnPL,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21534"
1,TnPL,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21538"
1,TnPL,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21524"
1,TnPL,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21571"
1,TnPL,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21472"
1,TnPL,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21698"
1,TnPL,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20863"
1,TnPL,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20713"
1,TnPL,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21209"
1,TnPL,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21179"
1,TnPL,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21181"
1,TnPH,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20789"
1,TnPH,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.18586"
1,TnPH,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22992"
1,TnPH,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19267"
1,TnPH,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22312"
1,TnPH,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20318"
1,TnPH,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2088"
1,TnPH,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2079"
1,TnPH,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21128"
1,TnPH,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20823"
1,TnPH,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20893"
1,TnPH,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2087"
1,TnPH,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20901"
1,TnPH,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2069"
1,TnPH,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21019"
1,TnPH,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20736"
1,TnPH,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20736"
1,TnPH,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20812"
1,TnPH,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20925"
1,TnPH,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21018"
1,TnPH,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20716"
1,TnPH,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21567"
1,TnPH,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20612"
1,TnPH,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22435"
1,TnPH,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21358"
1,TnPH,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21176"
1,TnPH,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19932"
1,TnPL,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21526"
1,TnPL,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20445"
1,TnPL,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22606"
1,TnPL,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20794"
1,TnPL,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22257"
1,TnPL,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21696"
1,TnPL,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21474"
1,TnPL,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2161"
1,TnPL,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21639"
1,TnPL,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21645"
1,TnPL,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21462"
1,TnPL,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21602"
1,TnPL,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21521"
1,TnPL,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21695"
1,TnPL,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21469"
1,TnPL,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2159"
1,TnPL,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2159"
1,TnPL,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21573"
