cMVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TagCount,down_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.912" 
0,TagCount,up_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.910" 
0,TagCount,down_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.935" 
0,TagCount,up_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.931" 
0,TagCount,down_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.915" 
0,TagCount,up_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.924" 
0,TagCount,down_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.923" 
0,TagCount,up_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.925" 
0,TagCount,down_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.925" 
0,TagCount,up_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.921" 
0,TagCount,down_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.925" 
0,TagCount,up_ps,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.926" 
0,TagCount,down_ps,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.924" 
0,TagCount,up,0, 0.000,2.400,100.000,140.000,0.000,1.000,"0.941" 
0,TagCount,down,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.904" 
0,TagCount,central,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.921" 
0,TagCount,up_statistic,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.938" 
0,TagCount,down_statistic,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.904" 
0,TagCount,up_flavFrac,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.905" 
0,TagCount,down_flavFrac,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.936" 
0,TagCount,up_backg,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.933" 
0,TagCount,down_backg,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.909" 
0,TagCount,up_jer,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.922" 
0,TagCount,down_jer,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.921" 
0,TagCount,up_jes,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.922" 
0,TagCount,down_jes,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.924" 
0,TagCount,up_scale1,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.917" 
0,TagCount,down_scale1,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.926" 
0,TagCount,up_ps,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.930" 
0,TagCount,down_ps,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.918" 
0,TagCount,up,0, 0.000,2.400,140.000,200.000,0.000,1.000,"0.947" 
0,TagCount,down,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.895" 
0,TagCount,central,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.819" 
0,TagCount,up_statistic,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.857" 
0,TagCount,down_statistic,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.779" 
0,TagCount,up_flavFrac,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.792" 
0,TagCount,down_flavFrac,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.845" 
0,TagCount,up_backg,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.834" 
0,TagCount,down_backg,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.805" 
0,TagCount,up_jer,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.819" 
0,TagCount,down_jer,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.818" 
0,TagCount,up_jes,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.819" 
0,TagCount,down_jes,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.823" 
0,TagCount,up_scale1,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.811" 
0,TagCount,down_scale1,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.832" 
0,TagCount,up_ps,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.823" 
0,TagCount,down_ps,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.818" 
0,TagCount,up,0, 0.000,2.400,200.000,300.000,0.000,1.000,"0.870" 
0,TagCount,down,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.769" 
1,TagCount,central,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.898" 
1,TagCount,up_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.924" 
1,TagCount,down_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.870" 
