cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, down_mudr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98789900541305542" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97949701547622681" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99689698219299316" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 300, 670, 0, 1, "1.047787070274353" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 30, 50, 0, 1, "1.0056145191192627" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0039331912994385" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0118429660797119" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99181294441223145" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 140, 200, 0, 1, "0.99132293462753296" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0068209171295166" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0310909748077393" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98587650060653687" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98545688390731812" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.99703133106231689" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97439020872116089" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.975117027759552" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.98671478033065796" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 300, 670, 0, 1, "0.98376709222793579" 
0, ptrel, up, 0, -2.4, 2.4, 30, 50, 0, 1, "1.0106006860733032" 
0, ptrel, up, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0096361637115479" 
0, ptrel, up, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0189816951751709" 
0, ptrel, up, 0, -2.4, 2.4, 100, 140, 0, 1, "1.0017682313919067" 
0, ptrel, up, 0, -2.4, 2.4, 140, 200, 0, 1, "1.0015295743942261" 
