DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.13332558783"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10287375065"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10288877813"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09966268364"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10609984514"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09247336507"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11328916371"
0,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09928043268"
0,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1064820961"
0,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10256879309"
0,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10319373569"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10229726617"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10346526261"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10284399296"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10291853582"
0,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10276873738"
0,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1029937914"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09058363041"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11517889837"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10078330511"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10497922366"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10123010223"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10453242655"
0,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10248541695"
0,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10327711183"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07265725622"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04876497916"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09654953327"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07100909574"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0743054167"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07149319157"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07382132086"
0,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07260651726"
0,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07270799517"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06372549466"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.08158901778"
0,TnP,down_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07226816887"
0,TnP,up_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07304634357"
0,TnP,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06921468707"
0,TnP,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07609982536"
0,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06917755921"
0,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07613695323"
0,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07189870035"
0,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07341581208"
0,TnP,down_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07237693005"
0,TnP,up_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07293758239"
0,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06267978692"
0,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.08263472552"
0,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0721389525"
0,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07317555993"
0,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07208131117"
0,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07323320126"
0,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07233233091"
