ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPL,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.07281"
2,TnPL,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072602"
2,TnPL,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.073726"
2,TnPL,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.071795"
2,TnPL,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070187"
2,TnPL,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070187"
2,TnPL,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072737"
2,TnPL,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072792"
2,TnPL,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072956"
2,TnPL,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072257"
2,TnPL,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.075045"
2,TnPL,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.074487"
2,TnPL,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.076381"
2,TnPL,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.074259"
2,TnPL,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.074378"
2,TnPL,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072048"
2,TnPH,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.043346"
2,TnPH,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.022871"
2,TnPH,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.06382"
2,TnPH,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.032397"
2,TnPH,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.054294"
2,TnPH,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.049619"
2,TnPH,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.055119"
