DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPL,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0785"
1,TnPL,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0479"
1,TnPL,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0479"
1,TnPL,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0646"
1,TnPL,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0655"
1,TnPL,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0673"
1,TnPL,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0622"
1,TnPL,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0908"
1,TnPL,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0316"
1,TnPL,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0631"
1,TnPL,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0982"
1,TnPL,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0644"
1,TnPL,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.055"
1,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0174"
1,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.86873"
1,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1661"
1,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96431"
1,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0705"
1,TnPH,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0875"
1,TnPH,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0528"
1,TnPH,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0517"
1,TnPH,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0656"
1,TnPH,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0543"
1,TnPH,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0609"
1,TnPH,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.059"
1,TnPH,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0538"
1,TnPH,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0316"
1,TnPH,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0809"
1,TnPH,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0184"
1,TnPH,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0184"
1,TnPH,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0543"
1,TnPH,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0588"
