DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04215719226"
1,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.046133265"
1,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04379454441"
1,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04449591285"
1,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.03940326506"
1,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04888719219"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00791195287"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.950003895479"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.06582001027"
1,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999193506913"
1,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01663039883"
1,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00710707749"
1,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00871682826"
1,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00777307312"
1,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00805083262"
1,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00528367422"
1,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01054023153"
1,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.950003895479"
1,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.06582001027"
1,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00355213434"
1,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0122717714"
1,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00562067731"
1,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01020322844"
1,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95066520739"
1,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.06515869836"
1,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00699146301"
1,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00883244273"
1,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00130586026"
1,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01451804549"
1,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00701892519"
1,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00880498055"
1,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00671797007"
1,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00910593567"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09751763219"
1,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04856248406"
1,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14647278031"
1,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09218520576"
1,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10285005862"
1,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09647106873"
1,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09856419564"
1,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09745358369"
1,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09758168068"
1,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09653406738"
1,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.098501197"
1,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04856248406"
1,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14647278031"
1,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09701398575"
1,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09802127863"
1,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09419406999"
1,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10084119439"
1,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04881309542"
1,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.14622216896"
1,TnP,down_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09651243708"
1,TnP,up_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09852282729"
1,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09639626726"
1,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09863899712"
1,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09661076194"
1,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09842450243"
1,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09492090376"
1,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10011436062"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06684259425"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02113576306"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.11254942544"
1,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0636143804"
1,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0700708081"
1,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06627733148"
1,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06740785702"
1,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06674678359"
1,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06693840491"
1,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06580885749"
1,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.067876331"
1,TnP,down_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02113576306"
1,TnP,up_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.11254942544"
1,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06564231168"
1,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06804287682"
1,TnP,down_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06662281849"
1,TnP,up_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06706237001"
