DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01985900251"
2,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02605658329"
2,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02081584242"
2,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02509974337"
2,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988808569124"
2,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.05710701667"
2,TnP,down_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02226640201"
2,TnP,up_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02364918378"
2,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02159602225"
2,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02431956355"
2,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0217760335"
2,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02413955229"
2,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02178661923"
2,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02412896656"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01760668002"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.983023786363"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.05218957368"
2,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01561749031"
2,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01959586973"
2,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01716490815"
2,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01804845188"
2,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01739354941"
2,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01781981063"
2,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01330658382"
2,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02190677622"
2,TnP,down_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.983023786363"
2,TnP,up_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.05218957368"
2,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01495141795"
2,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02026194208"
2,TnP,down_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01545301014"
2,TnP,up_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0197603499"
2,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.983360697082"
2,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.05185266296"
2,TnP,down_psscale,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01690115324"
2,TnP,up_psscale,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0183122068"
2,TnP,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01707873603"
2,TnP,up_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01813462401"
2,TnP,down_topmass,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01521084073"
2,TnP,up_topmass,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02000251931"
2,TnP,down_tune,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01479015499"
2,TnP,up_tune,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02042320505"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02594140905"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.979497825772"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.07238499232"
2,TnP,down_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02529987832"
2,TnP,up_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02658293977"
2,TnP,down_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02569318908"
2,TnP,up_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02618962901"
2,TnP,down_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02562463973"
2,TnP,up_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02625817837"
2,TnP,down_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02182272544"
