DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1299303691"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12596303745"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13062017612"
0,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12818744413"
0,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12839576944"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12504457322"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13153864035"
0,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06359393622"
0,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.19298927735"
0,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1219220378"
0,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13466117577"
0,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12475967156"
0,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13182354201"
0,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06436005135"
0,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.19222316222"
0,TnP,down_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1260794545"
0,TnP,up_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13050375907"
0,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12435634349"
0,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13222687009"
0,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1252612893"
0,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13132192427"
0,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12644427103"
0,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.13013894254"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02537215751"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971925277077"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.07881903795"
0,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02375314464"
0,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02699117039"
0,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.023082018"
0,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02766229702"
0,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02535407314"
0,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02539024189"
0,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01957445808"
0,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.03116985694"
0,TnP,down_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971925277077"
0,TnP,up_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.07881903795"
0,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02249328388"
0,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02825103115"
0,TnP,down_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02126010214"
0,TnP,up_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02948421289"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.972432947941"
